_id,CIVIC_CENTRE,MARRIAGE_LICENSES,TIME_PERIOD
24901,ET,80,2011-01
24902,NY,136,2011-01
24903,SC,159,2011-01
24904,TO,367,2011-01
24905,ET,109,2011-02
24906,NY,150,2011-02
24907,SC,154,2011-02
24908,TO,383,2011-02
24909,ET,177,2011-03
24910,NY,231,2011-03
24911,SC,213,2011-03
24912,TO,589,2011-03
24913,ET,178,2011-04
24914,NY,277,2011-04
24915,SC,261,2011-04
24916,TO,660,2011-04
24917,ET,263,2011-05
24918,NY,376,2011-05
24919,SC,375,2011-05
24920,TO,871,2011-05
24921,ET,255,2011-06
24922,NY,365,2011-06
24923,SC,334,2011-06
24924,TO,870,2011-06
24925,ET,238,2011-07
24926,NY,364,2011-07
24927,SC,352,2011-07
24928,TO,989,2011-07
24929,ET,257,2011-08
24930,NY,366,2011-08
24931,SC,345,2011-08
24932,TO,965,2011-08
24933,ET,152,2011-09
24934,NY,255,2011-09
24935,SC,276,2011-09
24936,TO,638,2011-09
24937,ET,126,2011-10
24938,NY,201,2011-10
24939,SC,218,2011-10
24940,TO,468,2011-10
24941,ET,103,2011-11
24942,NY,191,2011-11
24943,SC,182,2011-11
24944,TO,340,2011-11
24945,ET,109,2011-12
24946,NY,171,2011-12
24947,SC,149,2011-12
24948,TO,356,2011-12
24949,ET,115,2012-01
24950,NY,176,2012-01
24951,SC,171,2012-01
24952,TO,440,2012-01
24953,ET,134,2012-02
24954,NY,195,2012-02
24955,SC,160,2012-02
24956,TO,390,2012-02
24957,ET,183,2012-03
24958,NY,234,2012-03
24959,SC,243,2012-03
24960,TO,567,2012-03
24961,ET,194,2012-04
24962,NY,225,2012-04
24963,SC,252,2012-04
24964,TO,561,2012-04
24965,ET,217,2012-05
24966,NY,294,2012-05
24967,SC,332,2012-05
24968,TO,807,2012-05
24969,ET,262,2012-06
24970,NY,353,2012-06
24971,SC,340,2012-06
24972,TO,888,2012-06
24973,ET,269,2012-07
24974,NY,404,2012-07
24975,SC,371,2012-07
24976,TO,971,2012-07
24977,ET,251,2012-08
24978,NY,353,2012-08
24979,SC,346,2012-08
24980,TO,980,2012-08
24981,ET,132,2012-09
24982,NY,233,2012-09
24983,SC,215,2012-09
24984,TO,563,2012-09
24985,ET,156,2012-10
24986,NY,208,2012-10
24987,SC,215,2012-10
24988,TO,486,2012-10
24989,ET,85,2012-11
24990,NY,180,2012-11
24991,SC,170,2012-11
24992,TO,391,2012-11
24993,ET,99,2012-12
24994,NY,163,2012-12
24995,SC,158,2012-12
24996,TO,365,2012-12
24997,ET,91,2013-01
24998,NY,169,2013-01
24999,SC,138,2013-01
25000,TO,365,2013-01
25001,ET,90,2013-02
25002,NY,163,2013-02
25003,SC,126,2013-02
25004,TO,346,2013-02
25005,ET,130,2013-03
25006,NY,217,2013-03
25007,SC,188,2013-03
25008,TO,455,2013-03
25009,ET,177,2013-04
25010,NY,298,2013-04
25011,SC,219,2013-04
25012,TO,666,2013-04
25013,ET,223,2013-05
25014,NY,310,2013-05
25015,SC,300,2013-05
25016,TO,748,2013-05
25017,ET,212,2013-06
25018,NY,286,2013-06
25019,SC,303,2013-06
25020,TO,778,2013-06
25021,ET,258,2013-07
25022,NY,450,2013-07
25023,SC,319,2013-07
25024,TO,972,2013-07
25025,ET,244,2013-08
25026,NY,324,2013-08
25027,SC,322,2013-08
25028,TO,931,2013-08
25029,ET,157,2013-09
25030,NY,232,2013-09
25031,SC,233,2013-09
25032,TO,607,2013-09
25033,ET,121,2013-10
25034,NY,163,2013-10
25035,SC,208,2013-10
25036,TO,448,2013-10
25037,ET,92,2013-11
25038,NY,162,2013-11
25039,SC,140,2013-11
25040,TO,315,2013-11
25041,ET,89,2013-12
25042,NY,146,2013-12
25043,SC,130,2013-12
25044,TO,314,2013-12
25045,ET,85,2014-01
25046,NY,186,2014-01
25047,SC,139,2014-01
25048,TO,375,2014-01
25049,ET,93,2014-02
25050,NY,134,2014-02
25051,SC,126,2014-02
25052,TO,364,2014-02
25053,ET,151,2014-03
25054,NY,201,2014-03
25055,SC,180,2014-03
25056,TO,530,2014-03
25057,ET,151,2014-04
25058,NY,240,2014-04
25059,SC,229,2014-04
25060,TO,674,2014-04
25061,ET,219,2014-05
25062,NY,318,2014-05
25063,SC,298,2014-05
25064,TO,847,2014-05
25065,ET,240,2014-06
25066,NY,309,2014-06
25067,SC,315,2014-06
25068,TO,942,2014-06
25069,ET,252,2014-07
25070,NY,348,2014-07
25071,SC,338,2014-07
25072,TO,1024,2014-07
25073,ET,239,2014-08
25074,NY,351,2014-08
25075,SC,288,2014-08
25076,TO,967,2014-08
25077,ET,169,2014-09
25078,NY,228,2014-09
25079,SC,225,2014-09
25080,TO,658,2014-09
25081,ET,126,2014-10
25082,NY,180,2014-10
25083,SC,206,2014-10
25084,TO,489,2014-10
25085,ET,77,2014-11
25086,NY,138,2014-11
25087,SC,111,2014-11
25088,TO,347,2014-11
25089,ET,109,2014-12
25090,NY,162,2014-12
25091,SC,157,2014-12
25092,TO,357,2014-12
25093,ET,123,2015-01
25094,NY,140,2015-01
25095,SC,149,2015-01
25096,TO,327,2015-01
25097,ET,108,2015-02
25098,NY,159,2015-02
25099,SC,130,2015-02
25100,TO,333,2015-02
25101,ET,155,2015-03
25102,NY,224,2015-03
25103,SC,222,2015-03
25104,TO,559,2015-03
25105,ET,149,2015-04
25106,NY,273,2015-04
25107,SC,257,2015-04
25108,TO,665,2015-04
25109,ET,245,2015-05
25110,NY,307,2015-05
25111,SC,306,2015-05
25112,TO,805,2015-05
25113,ET,268,2015-06
25114,NY,386,2015-06
25115,SC,346,2015-06
25116,TO,927,2015-06
25117,ET,317,2015-07
25118,NY,387,2015-07
25119,SC,390,2015-07
25120,TO,1090,2015-07
25121,ET,264,2015-08
25122,NY,336,2015-08
25123,SC,325,2015-08
25124,TO,930,2015-08
25125,ET,174,2015-09
25126,NY,251,2015-09
25127,SC,253,2015-09
25128,TO,713,2015-09
25129,ET,135,2015-10
25130,NY,211,2015-10
25131,SC,186,2015-10
25132,TO,478,2015-10
25133,ET,91,2015-11
25134,NY,176,2015-11
25135,SC,149,2015-11
25136,TO,342,2015-11
25137,ET,104,2015-12
25138,NY,169,2015-12
25139,SC,144,2015-12
25140,TO,335,2015-12
25141,ET,92,2016-01
25142,NY,156,2016-01
25143,SC,131,2016-01
25144,TO,346,2016-01
25145,ET,123,2016-02
25146,NY,170,2016-02
25147,SC,173,2016-02
25148,TO,364,2016-02
25149,ET,155,2016-03
25150,NY,197,2016-03
25151,SC,204,2016-03
25152,TO,517,2016-03
25153,ET,197,2016-04
25154,NY,257,2016-04
25155,SC,246,2016-04
25156,TO,695,2016-04
25157,ET,247,2016-05
25158,NY,326,2016-05
25159,SC,306,2016-05
25160,TO,895,2016-05
25161,ET,255,2016-06
25162,NY,344,2016-06
25163,SC,341,2016-06
25164,TO,1071,2016-06
25165,ET,274,2016-07
25166,NY,384,2016-07
25167,SC,348,2016-07
25168,TO,1041,2016-07
25169,ET,296,2016-08
25170,NY,358,2016-08
25171,SC,333,2016-08
25172,TO,1072,2016-08
25173,ET,228,2016-09
25174,NY,265,2016-09
25175,SC,207,2016-09
25176,TO,656,2016-09
25177,ET,139,2016-10
25178,NY,187,2016-10
25179,SC,171,2016-10
25180,TO,489,2016-10
25181,ET,82,2016-11
25182,NY,148,2016-11
25183,SC,135,2016-11
25184,TO,388,2016-11
25185,ET,96,2016-12
25186,NY,164,2016-12
25187,SC,125,2016-12
25188,TO,362,2016-12
25189,ET,102,2017-01
25190,NY,146,2017-01
25191,SC,147,2017-01
25192,TO,347,2017-01
25193,ET,104,2017-02
25194,NY,170,2017-02
25195,SC,139,2017-02
25196,TO,357,2017-02
25197,ET,183,2017-03
25198,NY,237,2017-03
25199,SC,223,2017-03
25200,TO,608,2017-03
25201,ET,173,2017-04
25202,NY,276,2017-04
25203,SC,222,2017-04
25204,TO,627,2017-04
25205,ET,234,2017-05
25206,NY,323,2017-05
25207,SC,323,2017-05
25208,TO,894,2017-05
25209,ET,250,2017-06
25210,NY,350,2017-06
25211,SC,346,2017-06
25212,TO,943,2017-06
25213,ET,287,2017-07
25214,NY,367,2017-07
25215,SC,320,2017-07
25216,TO,971,2017-07
25217,ET,324,2017-08
25218,NY,344,2017-08
25219,SC,312,2017-08
25220,TO,1066,2017-08
25221,ET,207,2017-09
25222,NY,268,2017-09
25223,SC,233,2017-09
25224,TO,729,2017-09
25225,ET,144,2017-10
25226,NY,219,2017-10
25227,SC,194,2017-10
25228,TO,552,2017-10
25229,ET,98,2017-11
25230,NY,185,2017-11
25231,SC,160,2017-11
25232,TO,393,2017-11
25233,ET,114,2017-12
25234,NY,156,2017-12
25235,SC,132,2017-12
25236,TO,385,2017-12
25237,ET,128,2018-01
25238,NY,156,2018-01
25239,SC,156,2018-01
25240,TO,375,2018-01
25241,ET,145,2018-02
25242,NY,182,2018-02
25243,SC,149,2018-02
25244,TO,344,2018-02
25245,ET,177,2018-03
25246,NY,235,2018-03
25247,SC,187,2018-03
25248,TO,538,2018-03
25249,ET,188,2018-04
25250,NY,238,2018-04
25251,SC,239,2018-04
25252,TO,657,2018-04
25253,ET,229,2018-05
25254,NY,337,2018-05
25255,SC,302,2018-05
25256,TO,880,2018-05
25257,ET,279,2018-06
25258,NY,337,2018-06
25259,SC,338,2018-06
25260,TO,964,2018-06
25261,ET,324,2018-07
25262,NY,408,2018-07
25263,SC,347,2018-07
25264,TO,1090,2018-07
25265,ET,365,2018-08
25266,NY,323,2018-08
25267,SC,392,2018-08
25268,TO,1117,2018-08
25269,ET,209,2018-09
25270,NY,256,2018-09
25271,SC,216,2018-09
25272,TO,719,2018-09
25273,ET,187,2018-10
25274,NY,227,2018-10
25275,SC,186,2018-10
25276,TO,582,2018-10
25277,ET,140,2018-11
25278,NY,199,2018-11
25279,SC,169,2018-11
25280,TO,397,2018-11
25281,ET,108,2018-12
25282,NY,157,2018-12
25283,SC,123,2018-12
25284,TO,329,2018-12
25285,ET,123,2019-01
25286,NY,162,2019-01
25287,SC,151,2019-01
25288,TO,341,2019-01
25289,ET,143,2019-02
25290,NY,190,2019-02
25291,SC,158,2019-02
25292,TO,382,2019-02
25293,ET,170,2019-03
25294,NY,236,2019-03
25295,SC,240,2019-03
25296,TO,576,2019-03
25297,ET,193,2019-04
25298,NY,290,2019-04
25299,SC,237,2019-04
25300,TO,724,2019-04
25301,ET,235,2019-05
25302,NY,336,2019-05
25303,SC,285,2019-05
25304,TO,879,2019-05
25305,ET,242,2019-06
25306,NY,315,2019-06
25307,SC,280,2019-06
25308,TO,901,2019-06
25309,ET,308,2019-07
25310,NY,407,2019-07
25311,SC,323,2019-07
25312,TO,1079,2019-07
25313,ET,281,2019-08
25314,NY,384,2019-08
25315,SC,329,2019-08
25316,TO,1011,2019-08
25317,ET,220,2019-09
25318,NY,247,2019-09
25319,SC,221,2019-09
25320,TO,738,2019-09
25321,ET,150,2019-10
25322,NY,228,2019-10
25323,SC,172,2019-10
25324,TO,576,2019-10
25325,ET,120,2019-11
25326,NY,198,2019-11
25327,SC,156,2019-11
25328,TO,433,2019-11
25329,ET,122,2019-12
25330,NY,187,2019-12
25331,SC,153,2019-12
25332,TO,393,2019-12
25333,ET,130,2020-01
25334,NY,168,2020-01
25335,SC,171,2020-01
25336,TO,426,2020-01
25337,ET,130,2020-02
25338,NY,184,2020-02
25339,SC,160,2020-02
25340,TO,434,2020-02
25341,ET,101,2020-03
25342,NY,122,2020-03
25343,SC,99,2020-03
25344,TO,294,2020-03
25345,TO,47,2020-04
25346,TO,123,2020-05
25347,NY,167,2020-06
25348,SC,222,2020-06
25349,TO,248,2020-06
25350,NY,718,2020-07
25351,SC,782,2020-07
25352,NY,776,2020-08
25353,SC,637,2020-08
25354,NY,864,2020-09
25355,SC,569,2020-09
25356,NY,536,2020-10
25357,SC,581,2020-10
25358,NY,366,2020-11
25359,SC,320,2020-11
25360,NY,168,2020-12
25361,SC,200,2020-12
25362,NY,286,2021-01
25363,SC,78,2021-01
25364,NY,427,2021-02
25365,SC,108,2021-02
25366,NY,631,2021-03
25367,SC,285,2021-03
25368,ET,1,2021-04
25369,NY,560,2021-04
25370,SC,191,2021-04
25371,NY,518,2021-05
25372,SC,187,2021-05
25373,NY,677,2021-06
25374,SC,215,2021-06
25375,TO,3,2021-06
25376,NY,997,2021-07
25377,SC,375,2021-07
25378,NY,372,2021-08
25379,SC,266,2021-08
25380,TO,922,2021-08
25381,TO,1773,2021-09
25382,TO,1413,2021-10
25383,TO,783,2021-11
25384,NY,1,2021-12
25385,TO,689,2021-12
25386,TO,472,2022-01
25387,TO,536,2022-02
25388,TO,1220,2022-03
25389,TO,1265,2022-04
25390,TO,1269,2022-05
25391,NY,455,2022-06
25392,TO,1658,2022-06
25393,NY,559,2022-07
25394,TO,1507,2022-07
25395,NY,647,2022-08
25396,TO,1656,2022-08
25397,NY,467,2022-09
25398,TO,1108,2022-09
25399,NY,304,2022-10
25400,TO,611,2022-10
25401,NY,329,2022-11
25402,TO,476,2022-11
25403,NY,128,2022-12
25404,TO,556,2022-12
25405,NY,149,2023-01
25406,TO,563,2023-01
25407,NY,156,2023-02
25408,TO,617,2023-02
25409,NY,215,2023-03
25410,TO,929,2023-03
25411,NY,318,2023-04
25412,TO,1086,2023-04
25413,NY,305,2023-05
25414,TO,1507,2023-05
25415,NY,416,2023-06
25416,TO,1507,2023-06
25417,NY,439,2023-07
25418,TO,1628,2023-07
25419,NY,412,2023-08
25420,TO,1649,2023-08
25421,NY,266,2023-09
25422,TO,1156,2023-09
25423,NY,296,2023-10
25424,TO,811,2023-10
25425,NY,260,2023-11
25426,TO,606,2023-11
25427,NY,99,2023-12
25428,TO,646,2023-12
25429,NY,135,2024-01
25430,TO,840,2024-01
25431,NY,193,2024-02
25432,TO,800,2024-02
25433,NY,114,2024-03
25434,TO,1116,2024-03
25435,NY,270,2024-04
25436,TO,1279,2024-04
25437,NY,409,2024-05
25438,TO,1347,2024-05
25439,NY,394,2024-06
25440,TO,1355,2024-06
25441,NY,670,2024-07
25442,TO,1545,2024-07
25443,NY,675,2024-08
25444,TO,1406,2024-08
25445,NY,433,2024-09
25446,TO,944,2024-09
25447,NY,434,2024-10
25448,TO,772,2024-10
25449,NY,321,2024-11
25450,TO,556,2024-11
25451,NY,254,2024-12
25452,TO,529,2024-12
25453,NY,309,2025-01
25454,TO,784,2025-01
25455,NY,262,2025-02
25456,TO,671,2025-02
25457,NY,297,2025-03
25458,TO,801,2025-03
25459,NY,365,2025-04
25460,TO,935,2025-04
25461,NY,607,2025-05
25462,TO,1132,2025-05
25463,NY,568,2025-06
25464,TO,1546,2025-06
25465,NY,611,2025-07
25466,TO,1706,2025-07
25467,NY,549,2025-08
25468,TO,1410,2025-08
25469,NY,387,2025-09
25470,TO,1101,2025-09
25471,NY,241,2025-10
25472,TO,878,2025-10
25473,NY,118,2025-11
25474,TO,700,2025-11
25475,NY,249,2025-12
25476,TO,539,2025-12
25477,NY,270,2026-01
25478,TO,575,2026-01
